date,series_id,price
2023-04-06,GOLD,2011.9000244140625
2023-04-10,GOLD,1989.0999755859375
2023-04-11,GOLD,2004.800048828125
2023-04-12,GOLD,2010.9000244140625
2023-04-13,GOLD,2041.300048828125
2023-04-14,GOLD,2002.199951171875
2023-04-17,GOLD,1994.199951171875
2023-04-18,GOLD,2007.4000244140625
2023-04-19,GOLD,1995.199951171875
2023-04-20,GOLD,2007.5999755859375
2023-04-21,GOLD,1979.5
2023-04-24,GOLD,1989.0999755859375
2023-04-25,GOLD,1994.0
2023-04-26,GOLD,1985.699951171875
2023-04-27,GOLD,1989.9000244140625
2023-04-28,GOLD,1990.0999755859375
2023-05-01,GOLD,1983.4000244140625
2023-05-02,GOLD,2014.300048828125
2023-05-03,GOLD,2028.5999755859375
2023-05-04,GOLD,2048.0
2023-05-05,GOLD,2017.4000244140625
2023-05-08,GOLD,2026.300048828125
2023-05-09,GOLD,2036.199951171875
2023-05-10,GOLD,2030.5
2023-05-11,GOLD,2014.699951171875
2023-05-12,GOLD,2014.5
2023-05-15,GOLD,2018.0
2023-05-16,GOLD,1988.4000244140625
2023-05-17,GOLD,1980.699951171875
2023-05-18,GOLD,1956.5
2023-05-19,GOLD,1978.699951171875
2023-05-22,GOLD,1974.800048828125
2023-05-23,GOLD,1972.4000244140625
2023-05-24,GOLD,1962.800048828125
2023-05-25,GOLD,1943.0999755859375
2023-05-26,GOLD,1944.0999755859375
2023-05-30,GOLD,1958.0
2023-05-31,GOLD,1963.9000244140625
2023-06-01,GOLD,1978.0
2023-06-02,GOLD,1952.4000244140625
2023-06-05,GOLD,1958.0
2023-06-06,GOLD,1965.5
2023-06-07,GOLD,1942.699951171875
2023-06-08,GOLD,1963.5999755859375
2023-06-09,GOLD,1962.199951171875
2023-06-12,GOLD,1955.300048828125
2023-06-13,GOLD,1944.5999755859375
2023-06-14,GOLD,1955.300048828125
2023-06-15,GOLD,1957.800048828125
2023-06-16,GOLD,1958.4000244140625
2023-06-20,GOLD,1935.5
2023-06-21,GOLD,1933.300048828125
2023-06-22,GOLD,1912.699951171875
2023-06-23,GOLD,1919.0999755859375
2023-06-26,GOLD,1923.699951171875
2023-06-27,GOLD,1914.0
2023-06-28,GOLD,1912.300048828125
2023-06-29,GOLD,1909.199951171875
2023-06-30,GOLD,1921.0999755859375
2023-07-03,GOLD,1921.699951171875
2023-07-05,GOLD,1919.5999755859375
2023-07-06,GOLD,1908.699951171875
2023-07-07,GOLD,1926.199951171875
2023-07-10,GOLD,1925.0
2023-07-11,GOLD,1931.300048828125
2023-07-12,GOLD,1956.199951171875
2023-07-13,GOLD,1959.199951171875
